time,recent_15_minute_outdoorTemp_max,recent_15_minute_outdoorTemp_min,recent_15_minute_outdoorTemp_median,recent_15_minute_outdoorTemp_mean,recent_15_minute_outdoorTemp_std,recent_15_minute_outdoorHum_max,recent_15_minute_outdoorHum_min,recent_15_minute_outdoorHum_median,recent_15_minute_outdoorHum_mean,recent_15_minute_outdoorHum_std
1552496443.0,14.6,14.6,14.6,14.6,0.0,85.0,85.0,85.0,85.0,0.0
1552496503.0,14.7,14.6,14.649999999999999,14.649999999999999,0.04999999999999982,85.0,84.0,84.5,84.5,0.5
1552496565.0,14.7,14.6,14.7,14.666666666666666,0.047140452079103,85.0,84.0,84.0,84.33333333333333,0.4714045207910317
1552496624.0,14.7,14.6,14.649999999999999,14.65,0.04999999999999982,85.0,84.0,84.5,84.5,0.5
1552496682.0,14.7,14.6,14.6,14.64,0.04898979485566339,85.0,84.0,85.0,84.6,0.4898979485566356
1552496745.0,14.7,14.6,14.6,14.633333333333333,0.047140452079103,85.0,84.0,85.0,84.66666666666667,0.4714045207910317
1552496804.0,14.7,14.5,14.6,14.614285714285714,0.06388765649999377,85.0,84.0,85.0,84.71428571428571,0.4517539514526256
1552496862.0,14.7,14.5,14.6,14.6,0.0707106781186545,85.0,84.0,85.0,84.75,0.4330127018922193
1552496925.0,14.7,14.5,14.6,14.58888888888889,0.07370277311900862,85.0,84.0,85.0,84.77777777777777,0.41573970964154905
1552496982.0,14.7,14.5,14.6,14.580000000000002,0.07483314773547856,85.0,84.0,85.0,84.8,0.4
1552497045.0,14.7,14.5,14.6,14.572727272727274,0.07496555682941174,85.0,84.0,85.0,84.81818181818181,0.38569460791993504
1552497104.0,14.7,14.5,14.55,14.566666666666668,0.07453559924999273,86.0,84.0,85.0,84.91666666666667,0.4930066485916347
1552497167.0,14.7,14.4,14.5,14.553846153846155,0.08426500884694833,86.0,84.0,85.0,85.0,0.5547001962252291
1552497224.0,14.7,14.4,14.5,14.542857142857144,0.09035079029052479,86.0,84.0,85.0,85.07142857142857,0.5933302759227196
1552497288.0,14.7,14.4,14.5,14.533333333333335,0.094280904158206,86.0,84.0,85.0,85.13333333333334,0.6182412330330469
1552497343.0,14.7,14.4,14.5,14.520000000000001,0.09797958971132678,86.0,84.0,85.0,85.2,0.6531972647421808
1552497405.0,14.7,14.4,14.5,14.500000000000002,0.08944271909999128,86.0,84.0,85.0,85.33333333333333,0.5962847939999439
1552497463.0,14.7,14.3,14.5,14.4875,0.0992156741649218,86.0,84.0,85.0,85.375,0.5994789404140899
1552497528.0,14.6,14.3,14.5,14.460000000000003,0.07999999999999971,86.0,85.0,86.0,85.53333333333333,0.4988876515698588
