time,temperature
1554224413,15.737441443775595
1554226217,15.745354182311763
1554228020,15.671461252434058
1554229823,15.667065036226377
1554231625,15.858675141194917
1554233429,15.829348932578307
1554235232,15.774888063291359
1554237035,15.52422341150314
1554238838,15.309822998273596
1554240642,15.179655839069415
1554242445,15.077789153238955
1554244248,14.992527914817057
1554246051,15.096453612131636
1554247854,15.305962186100128
1554249657,15.267796314106437
1554251461,15.372149204545352
1554253618,15.667838462869684
1554255420,15.84103447194228
1554257224,16.13421931723046
1554259027,16.382709978123255
1554260829,16.716474158346532
1554262633,17.045133602911733
1554264969,15.66363744438803
1554266772,15.563915600254893
1554270995,18.60866596874049
1554272798,19.52802826729462
1554274601,19.837714108748752
1554276403,19.722046575126292
1554278206,18.68935822015541
1554280009,18.349638627231936
1554281812,18.056714265653106
1554283555,17.648767414093214
1554285976,17.18653910694506
1554287779,16.941503146489787
1554289582,16.30409619225123
1554291386,16.189050347071007
1554293189,15.986250474373175
1554294992,16.035874235571114
1554296795,16.23490015805574
1554298598,16.073919370959803
1554300401,15.733362712985612
1554302204,15.67771742239807
1554304008,15.514979779969186
1554305811,15.515120330219537
1554310860,14.98226118683889
1554312663,15.038399235115877
1554314466,15.053233560583726
1554316270,14.989364113440168
1554318073,14.932478519732575
1554319876,14.956929798209835
1554321679,14.62978597794741
1554323483,14.619969509637281
1554325285,14.892909506741258
1554327089,14.92322327119186
1554328891,14.530910785109798
1554330635,14.525429680024045
1554332438,14.8774310219149
1554334241,14.914063086472154
1554335985,14.958042734008181
1554337787,15.193250285751624
1554339591,15.1592937873035
1554341394,15.503649829005973
1554343197,15.73230898324
1554345000,15.990343228605745
1554346803,16.279641874838994
1554348606,16.402298619307725
1554350454,14.978805606736705
1554352258,15.038286130413187
1554354075,16.978789954334378
1554355878,16.913924072675282
1554357681,16.679518279883904
1554359485,17.041177066408956
1554361288,16.984328186438763
1554363091,17.398270772903334
1554364894,17.807724893520373
1554366697,18.19922898878336
1554368501,18.369576264294963
1554370304,18.377788483790223
1554372107,18.522449013008753
1554373910,18.404216001368024
1554375713,17.79057530203854
1554377516,17.349477342050815
1554379319,16.35962800664418
1554381121,16.337201064848756
1554382925,16.02041469085308
1554384728,15.993378432390823
1554386531,15.930861800007618
1554388335,15.888390499639645
1554390138,15.231680532625564
1554391941,15.259617819946712
1554393730,16.656516432607415
1554395533,16.705592032113522
1554397352,15.055514654029
1554399154,15.115784479044164
1554400958,14.8465446053569
1554402762,14.752491369182986
1554404504,14.707164021140503
1554406308,14.68224631570238
1554408111,14.718496460116581
1554409915,14.59899136002586
1554411719,14.264596592277726
1554413522,14.135383059552272
1554415326,14.128037771255553
1554417129,14.199609868789391
1554418932,14.568702892246474
